4,1.8,1,0,0,14.2,1,2,0,0,16.6,0.9,3,0.5,0,16.8,1.7,2,0.8,0,16.6,2.3,2,1,0,17.2,1.1,3,0.9,0,18,0.7,6,1,0,17.7,1,8,0.8,0,17.3,0.8,7,1,0,15.8,0.6,13,0.7,0,14.1,1.3,13,0,0,14.1,1.3,13,,0,13.7,0.3,0,,0,13.3,1.6,14,,0,13.1,1.1,13,,0,12.5,0.7,12,,0,12.6,0.8,13,,0,13.1,0.6,10,,1,0,15.4,1.1,7,,0,15.8,1,9,,0,15.8,0.9,12,,0,15.8,1.3,13,,0,16.3,1,12,,0,16.4,0.8,10,,0,16.8,1,13,0,0,17.4,1.4,12,0,0,15.8,1.3,2,0,0,14.4,2.3,1,0,0,13.9,3.3,1,0,1,12.6,4.5,1,0,1.5,12.2,4.6,1,0,0,12,4.4,1,0,1,12,5.7,1,0,0,12.1,7,1,0,1,12,5.9,1,0,1.5,11.7,7.6,1,,2,11.5,7.4,1,,4.5,11.4,7.8,1,,1,11.3,8.3,1,,2,11.2,8.2,1,,0.5,11.7,7.8,1,,1,11.7,8.3,1,,1,0.5,12,8.1,1,,0,12.3,7.4,1,,0,13.1,7.9,1,,0,12.6,7.7,1,,0,12.5,6,1,,0,12.2,7.6,1,,0,12.2,5.9,1,0,0,13.1,7,1,0,0,13.7,6.3,1,0,0,14.4,7.7,1,0,0,14.5,7.4,1,0,0,15.2,7.1,1,0.6,0,16,5.9,1,0.1,0,15.2,5.3,1,0.1,0,15.4,5.5,1,0,0,15.2,5.2,1,0,0,15.2,4.3,1,0,0,14.7,4,1,,0,14,3.1,2,,0,13.5,3.3,2,,0,12.6,2.8,2,,0,13.1,1.9,1,,0,13.6,3.8,1,,0,13,3.1,2,,1,0,12.5,4,1,,0.5,11.9,4.5,1,,0.5,12.3,4.4,1,,0,12.7,4,1,,0,12.3,4.7,1,,0,12.5,4.3,1,,0,12.2,5,1,0,0,12.5,5.5,1,0.1,0,13.8,4.4,2,1,0,15,1.6,2,1,0,15.3,2.1,2,1,0,15.9,1.5,2,1,0,15.8,2.1,2,1,0,15.7,1.6,2,1,0,14.8,1.2,2,1,0,14.1,2.2,1,0.7,0,13.1,2,0,0,0,13.3,1.9,0,,0,12.1,1.3,1,,0,12.9,2,15,,0,13.6,1.9,15,,0,13.8,2,0,,0,14.2,1.9,0,,0,13.5,1.8,15,,1,0,13.4,1.4,0,,0,13.3,1.5,15,,0,13,1.5,14,,0,12.6,1.6,14,,0,12.9,1.4,14,,0,13,1.4,14,,0,13.1,1.6,14,0,0,16.4,0.2,16,0.6,0,16.7,0.8,1,0.2,0,17.7,0.9,6,0.4,0,17.5,1,5,0.2,0,17.4,1,3,0,0,16.2,1.3,14,0,0,16.5,0.9,13,0,0,16.1,1.5,13,0,0.5,14.9,1.3,14,0,0,15.4,1.3,13,0,0.5,14.9,2.2,13,,0,13.9,0.6,9,,0,13.7,1.3,14,,0,14.3,1.2,13,,0,15,1.6,13,,0,16,1,13,,1,16,0.6,0,,1,0,15.9,0.5,14,,0,16.3,1.9,13,,0.5,16.5,1.2,13,,0.5,16.5,0.9,13,,0,16.9,0.8,11,,0.5,17.8,0.8,9,,0,17.3,1.2,9,0,0,18.1,1.1,9,0,0.5,18.1,1.3,9,0,0.5,18.3,1.8,9,0,4,17.1,1.2,10,0,5.5,17.6,1.3,8,0,1,17.9,1.1,9,0,1,18.1,0.6,8,0,0,17.6,1.4,1,0.8,0,16.7,0.3,10,0.3,0,15.4,1.3,0,0,0,15.3,1.4,15,,0,15.4,2.2,1,,0,15.7,2.7,0,,0,14.2,2.7,1,,0,15.5,2.9,1,,0,14.9,2.4,0,,0,13.6,1.4,15,,1,0,13.5,1.3,0,,0,14.2,1.8,0,,0,14.4,2,0,,0,13.7,2.4,0,,0,14,4.6,1,,0,14.2,5.1,1,,0,14.1,4.8,1,0,0,15,3.4,1,0.7,0,16,2.6,2,1,0,16.5,2.7,2,1,0,17,2.7,2,1,0,17.5,2.4,2,1,0,17.3,2.7,2,1,0,16.9,2.8,2,0.9,0,16.2,2.1,1,0.2,0,15.6,2.7,1,0.1,0,15.3,2.2,1,0,0,16.1,1.8,1,,0,16.3,2.1,15,,0,16.3,0.9,15,,0,15.9,1.3,15,,0,15.9,0.6,7,,3,14.8,1.4,0,,4,15.4,0.3,12,,1,0,15.3,0.8,13,,0,15,0.6,13,,0.5,15.3,0.9,13,,0,15.7,0.9,12,,0,15.5,2,13,,0,15,1.1,13,,3,15,0.6,13,0,1.5,16,1.1,9,0,0.5,16.6,1.2,12,0,0,17.3,0.8,13,0,0,18.7,1,9,0,0,19.4,1.1,10,0,3.5,18.8,1.2,9,0,0,19.2,1.7,9,0,0,18.4,1.5,10,0.5,0,17.2,1.3,8,0.8,0,16.9,1.6,11,0,0,16.2,1.5,10,,0,15.8,1.4,11,,0,15.1,1.8,12,,0,14.8,1.7,11,,0,13.9,1.5,10,,0,12.8,2.3,12,,0,12,2,11,,1,0,11.5,1.6,10,,0,11.3,1.8,11,,0,10.6,1.7,10,,0,9.7,1.8,9,,0,8.5,1.9,10,,0,7.5,1.8,9,,0,7,2.1,8,0.2,0,7.4,2,9,1,0,8,2.2,10,1,0,8.5,1.9,10,1,0,8.9,2.3,8,1,0,9.5,2.1,8,1,0,9.9,1.9,9,1,0,10,1.9,9,1,0,9,2,10,1,0,7.7,2,9,0.8,0,6.9,1.7,10,0,0,6.7,2.1,10,,0,6.3,1.7,10,,0,6.2,1.7,11,,0,6.1,1.6,10,,0,6,2,10,,0,5.7,1.5,11,,0,5.3,1.6,12,,1,0,5.4,1.6,11,,0,5.2,1.6,9,,0,5,1.9,12,,0,4.8,1.8,10,,0,4.5,1.6,11,,0,4.6,1.6,10,,0,5.2,2.1,10,0.3,0,6.8,2.4,11,1,0,7.5,2.6,10,1,0,8.2,2.2,9,1,0,8.8,2.3,9,1,0,8.9,2.3,9,1,0,9.4,2.2,9,1,0,9.3,2,9,1,0,9,2,9,1,0,8.4,2,10,0.8,0,8.3,1.9,10,0,0,8.1,1.7,10,,0,8.4,1.9,11,,0,8.4,1.5,11,,0,8.8,1.9,10,,0,8.7,1.7,11,,0,9.4,2,12,,0,9.5,1.6,11,,1,0,9.9,1.5,10,,0,10.5,1.7,10,,0,10.5,1.7,9,,0,10.5,1.5,11,,0,9.6,1.5,11,,0,10.5,1.6,9,,0,10.7,1.7,12,0,0,9.2,1.2,10,0,0.5,9.5,1.5,8,0,0,9.3,1.7,9,0,1,9.4,1,8,0,0,9.6,1.1,9,0,0.5,10.3,1.7,11,0,0,10.5,1.6,10,0,0.5,9.7,1.8,9,0,0.5,8.7,1.3,8,0,1.5,8.3,1.1,9,0,0,8.4,1.2,8,,0,8.4,0.5,8,,0,8.6,0.7,14,,0,8.7,0.5,7,,0,7.4,0.7,14,,0,7.5,0.6,12,,0,7.5,1.5,14,,1,0,6.9,1.2,15,,0,7.2,1.5,12,,0,7,1.1,12,,0,6.9,1.2,9,,0,6.7,1,10,,0,6.4,1.4,10,,0,6.3,1.5,10,0.3,0,7.5,1.4,9,1,0,8.5,1.7,9,1,0,10,1.4,8,1,0,10.7,1.4,8,1,0,10.9,1.5,8,1,0,10.9,1.3,9,1,0,10.3,1.6,8,1,0,9.4,1.7,9,1,0,8.2,1.7,10,0.9,0,7,1.3,9,0,0,6.7,1.5,11,,0,6.4,1.4,10,,0,6.1,1.5,11,,0,5.6,1.3,12,,0,5.3,1.5,12,,0,5,1.1,12,,0,4.9,1.6,12,,1,0,4.6,1.3,11,,0,4.6,1.2,10,,0,4.5,1.2,11,,0,4.3,1.2,10,,0,4.1,1.2,12,,0,4.1,1.9,12,,0,4.4,1.7,12,0.2,0,5.9,2,13,1,0,7.3,2.1,12,1,0,8.3,1.4,12,1,0,9.8,1.4,9,1,0,10.3,1.3,8,1,0,9.8,1.2,9,1,0,10.5,1,8,1,0,8.9,1,10,1,0,7.3,0.8,15,0.9,0,6.2,1.5,13,0,0,6.3,1.5,12,,0,5.7,1.6,13,,0,5.6,1.4,12,,0,5.2,1.1,12,,0,5.1,1.8,12,,0,5,1.6,12,,0,4.9,2.1,12,,1,0,4.6,1.3,11,,0,4.7,1.4,12,,0,4.6,1.2,13,,0,4.2,0.9,13,,0,3.8,0.8,14,,0,3.5,0.6,14,,0,4.5,0.9,0,0.2,0,7.7,0.7,10,1,0,8.9,0.8,6,1,0,9.5,1.1,3,1,0,9.9,1.6,3,1,0,10.1,1.4,3,1,0,9.5,1.5,2,0.9,0,9.9,2.5,1,0.7,0,9.4,2.6,1,0.8,0,8.7,1.3,0,0.5,0,8.1,1.4,15,0,0,8.1,1.3,15,,0,8.6,1.4,0,,0,8.7,1.7,15,,0,8.8,2.3,0,,0,8.7,2.7,1,,0,8.2,3.7,1,,0,7.9,3.8,1,,1,0,7.1,4.9,1,,0,7,3,0,,0,7.1,2.8,0,,0,5.9,1.9,0,,0,5.9,2.2,0,,0,5.2,1.6,14,,0,5,1,14,0,0,9.2,1.2,9,1,0,10.6,1.6,9,1,0,11.3,1,8,1,0,12.3,1.3,9,1,0,12.9,1.1,9,1,0,13.6,1.3,8,1,0,13.6,1.1,8,1,0,12.3,1.2,8,1,0,10.2,0.6,10,0.9,0,7.9,0.9,13,0,0,7.7,0.8,13,,0,8.1,1.2,13,,0,8.4,1.2,13,,0,10.5,1.9,13,,0,9.9,0.5,12,,0,10.8,1.8,12,,0,10.5,1.2,12,,1,0,9.2,0.6,11,,0,9.2,1.3,14,,0,8.9,2.1,1,,0,8.3,3.7,0,,0,7.7,3.4,0,,0,7.3,3.8,1,,0,7.3,3.7,1,0,0,8.7,3.5,1,0.8,0,10.3,1.3,2,1,0,11,1.3,2,1,0,11.5,1.3,3,1,0,12,1.7,3,1,0,11.6,1.4,3,1,0,11.9,0.9,4,1,0,11,0.7,6,1,0,9.4,0.2,16,0.9,0,8.1,1.5,14,0,0,9.2,2.2,0,,0,9.5,3,0,,0,9,3.9,1,,0,8.6,3.6,1,,0,8.2,3.4,1,,0,7.7,2.7,0,,0,7.5,2.5,0,,1,0,6.6,1.8,0,,0,6.7,1.9,0,,0,6.6,1.9,0,,0,6.9,2.4,0,,0,6.7,2,0,,0,7.4,1.8,0,,0,8.3,2.8,1,0,0,9.5,2.4,1,0.9,0,10.6,1.9,2,1,0,9.7,2.6,2,0.3,0,9.5,3.8,1,0,0,9.3,3.2,2,0,0,10.4,1.9,2,0.7,0,9.8,2.1,2,0.1,0,10.3,0.4,3,0,0,9.5,1.9,2,0,0,8.7,1.2,0,0,0,9.7,1.1,15,,0,9.7,1,14,,0,10.4,0.7,13,,0,10.6,0.1,16,,0,10.3,0.1,16,,0,10.7,0.8,13,,0,10.5,0.3,12,,1,0,9.8,1.1,13,,0,10.9,0.6,7,,0,10.7,0.2,16,,0,11.2,0.2,16,,0,12.5,1,12,,0,13.8,0.8,9,,0,13.1,1.3,9,0,0,13.8,0.9,9,0,1,15,1.1,10,0,0.5,15.9,1.8,8,0,5,15.4,1.9,9,0,7.5,15.4,3,8,0,3,15.4,1.7,9,0,1,15.8,1.5,9,0,0.5,15.1,1.2,10,0.2,0,14.2,1,8,0.5,0,12.4,1,10,0,0,12.1,0.7,10,,0,11.8,2.3,13,,0,11.7,0.6,12,,0,10,0.8,10,,0,10.8,1.5,2,,0,10.8,1.3,14,,0,10.4,0.7,13,,1,0,11.1,0.9,15,,0,11.9,2.1,0,,0,11.6,2.9,0,,0,11.5,2.6,1,,0,11.3,1.4,1,,0,11,1.6,2,,0,10.4,4.1,1,0,0,9.9,3.9,1,0,0,10.2,4.5,1,0.2,0,10.3,3.8,1,0.1,0,10.4,3,1,0,0,10.6,2.7,1,0,0,10.8,0.5,3,0,0,10.8,0.4,1,0,0,10.6,0.4,8,0,0,9.6,0.6,13,0,0,8.8,0.6,10,0,0,8.6,1,10,,0,8.5,1.4,11,,0,8.4,1.3,9,,0,8.1,1.2,9,,0,7.5,1,12,,0,7.4,1.6,12,,0,7.1,1.4,11,,1,0,6.8,1.3,11,,0,6.2,1.7,12,,0,6.3,1.7,12,,0,5.5,1.3,11,,0,5.6,1.6,10,,0,5.4,1,10,,0,5.5,1.4,12,0.2,0,6.6,1.1,10,1,0,7.3,1.5,8,1,0,8,1.6,8,1,0,8.5,1.7,8,1,0,8.8,2.1,8,1,0,8.7,2,9,1,0,8.6,2,10,1,0,8,1.8,9,0.9,0,7.1,1.5,10,0.9,0,6.4,1.5,8,0,0,5.9,1.5,10,,0,5.9,1.6,9,,0,5.6,1.9,10,,0,5.1,1.9,11,,0,4.8,1.6,11,,0,4.2,1.4,11,,0,4.1,1.4,11,,1,0,3.8,1.5,12,,0,3.5,1.6,10,,0,3.4,1.2,11,,0,3.4,1.6,12,,0,3,1.5,13,,0,3.4,3,13,,0,3.9,2.6,13,0.1,0,5.8,2.2,13,1,0,6.4,1.7,12,1,0,7.4,1.6,10,1,0,8.4,1.5,9,1,0,8.9,1.6,8,1,0,8.7,1.6,9,1,0,8.5,1.7,8,0.9,0,7.6,1.3,12,1,0,6.6,1.3,12,0.9,0,5.5,1.1,11,0,0,5,1.1,10,,0,4.5,0.6,9,,0,4.3,0.8,12,,0,4.6,1,11,,0,4.3,0.8,11,,0,4.7,1.6,13,,0,4.9,1.4,13,,1,0,4.3,1.2,14,,0,4.1,1,14,,0,4.2,0.7,8,,0,4.4,1.2,13,,0,4.3,1.3,14,,0,3.1,1.6,14,,0,3.4,1.6,13,0,0,6.8,0.6,11,1,0,8.7,1.1,3,1,0,9.3,1.1,3,1,0,9.5,1.2,2,1,0,10.2,1.1,2,1,0,9.7,1,4,1,0,10.1,0.7,3,0.6,0,9,0.3,3,0.6,0,8.2,1.8,0,0.1,0,7.7,2.4,0,0,0,8,2.8,0,,0,8.5,3.5,1,,0,8.7,4.5,1,,0,7.8,4.8,1,,0,7.3,5.2,1,,0,7,5.3,1,,0,7,6.3,1,,1,0,7.3,4.2,1,,0,6.6,5.6,1,,0,6.3,5,1,,0,6.2,4.1,1,,0,5.7,2.7,1,,0,5.9,3.3,1,,0,6,2.9,1,0,0,6,3.1,1,0,0,5.7,1,15,0,0.5,6.1,1.7,2,0,0,6.6,0.5,2,0,0,6.2,1.3,2,0,3,6.1,1.2,2,0,3.5,6.7,0.1,16,0,3.5,7.1,0.7,0,0,5.5,7.3,2.4,0,0,16.5,8.4,2.3,0,0,24,9.3,4.8,0,,2.5,9.1,1.7,2,,0.5,9.2,1.1,12,,0,8.1,1.6,10,,0,7.9,2.3,10,,0,6.7,2.2,10,,0,5.4,2.6,11,,1,0,4.7,1.8,10,,0,4,1.8,11,,0,3.8,2.1,10,,0,3.3,1.7,9,,0,3,1.7,11,,0,2.6,1.8,11,,0,2.2,1.5,9,0,0,3.1,1.7,9,0.9,0,3.7,1.9,9,1,0,4.4,2,9,1,0,5,1.9,9,1,0,5.2,1.6,8,0.8,0,4.3,1.8,8,0.5,0,4.5,2.2,9,0.7,0,3.6,1.9,9,0.7,0,2.9,2.1,9,0.3,0,2.5,1.6,10,0,0,2.5,1.7,10,,0,2.2,2.2,8,,0,1.9,1.9,9,,0,1.7,2.3,9,,0,1.2,2.1,9,,0,0.9,1.7,9,,0,1.1,1.8,9,,1,0,1.1,1.9,9,,0,1.2,1.8,9,,0,1,1.1,8,,0,1,1.2,8,,0,1.1,1.1,9,,0,0.6,1,13,,0,0.9,1.1,13,0,0,3.5,1.6,12,1,0,4.9,1.5,11,1,0,4.9,1.8,9,1,0,6.4,1.7,12,1,0,6.3,1.5,9,1,0,6.9,1.6,9,1,0,7.4,1.2,9,1,0,6.8,1.7,8,1,0,5.4,1.6,15,0.9,0,3.5,1.9,13,0,0,3.2,2,13,,0,2.4,1.5,14,,0,3.6,2.7,13,,0,3.7,2.8,14,,0,2.7,2,14,,0,2.9,2,13,,0,2.8,1.9,14,,1,0,2.9,1.7,14,,0,2.4,1.5,14,,0,2.2,1.6,14,,0,2.9,1.8,14,,0,3.1,1.8,14,,0,2.5,1.8,15,,0,4.2,2.1,15,0.2,0,6.5,1.9,1,1,0,8.1,1.7,1,1,0,8.8,1.1,3,1,0,9.5,1,2,1,0,9.7,1.3,8,1,0,10.5,1.1,8,1,0,11.2,0.9,8,1,0,9.5,1.5,9,1,0,8,1.2,8,0.8,0,6.2,1.2,13,0,0,6.2,1.6,13,,0,5.6,1.7,13,,0,6.5,1.8,14,,0,7.2,1.7,14,,0,8.1,1.8,14,,0,8.2,1.6,13,,0,7.4,1.7,13,,1,0,9.2,0.7,11,,0,9.5,1.6,13,,0,9,1.2,12,,0,10,2.2,12,,0,10.3,2.5,13,,0,10.8,2.1,12,,0,11.3,2.4,13,0,0,11.3,1.8,9,0,0,9.1,0.6,12,0,0.5,9.3,0.9,13,0,0,9.5,1,13,0,0,10.3,0.9,0,0,0,10.9,0.5,2,0,1.5,10.5,0.5,2,0,4,11.1,0.3,1,0,13.5,11,0.7,11,0,16.5,14.6,7.5,9,0,20,15.1,2.3,9,,14.5,15.8,4.7,8,,5.5,16.2,4.8,8,,1,13.9,1.4,8,,0,12.6,1.4,10,,0,11.9,1.9,11,,0,10.9,0.9,13,,1,0,9.8,2,13,,0,9.4,0.6,0,,0,8.9,1.1,14,,0,8.6,1.4,13,,0,7.8,2,13,,0,8.6,1.1,13,,0,7.9,1.6,13,0,0,10,2.2,13,0.9,0,11.7,0.5,10,1,0,12.2,1.2,9,1,0,12.8,1.4,8,1,0,13.3,2.2,13,1,0,13.6,1.8,11,1,0,12.3,2,8,1,0,11,1.9,9,1,0,9.8,1.4,8,0.8,0,9.1,1.8,9,0,0,8.6,1.5,9,,0,8.4,1.8,9,,0,7.8,1.3,10,,0,7.4,1.3,9,,0,7.5,1.2,9,,0,7.1,1.7,9,,0,6.6,1.4,8,,1,0,6.1,1.7,9,,0,5.4,1.8,9,,0,5,1.1,9,,0,4.5,0.9,11,,0,4.5,1.1,9,,0,4,0.7,8,,0,3.1,0.7,9,0,0,5.6,1,9,0.9,0,6.7,1.5,8,1,0,7.5,1.9,8,1,0,8.3,2,10,1,0,8.3,1.6,8,1,0,8.3,2.2,11,1,0,8.4,2.2,9,1,0,7.5,1.7,9,1,0,6.5,1.6,9,1,0,5.4,1.3,9,0,0,4.8,0.9,10,,0,4.5,0.9,9,,0,4.5,1.2,11,,0,4.3,1.5,11,,0,4.1,1.2,10,,0,3.9,1.1,10,,0,3.9,1.4,9,,1,0,4,1.2,10,,0,4.1,1.2,10,,0,4.2,1.8,13,,0,4.9,2.4,14,,0,5.5,3.2,13,,0,4.5,1.5,14,,0,4.8,1.5,15,0,0,7.8,0.8,2,1,0,9,1.4,2,1,0,9.8,1.6,1,1,0,10.4,1.4,3,0.9,0,10.5,1,3,1,0,9.9,0.6,2,0.8,0,11.4,1.4,8,0.9,0,10.3,1.4,12,1,0,8.6,0.3,9,0.6,0,7,1.1,14,0,0,7.9,1.8,15,,0,8.4,2.6,0,,0,8.3,3.2,0,,0,7.7,4.6,1,,0,7.1,4.6,1,,0,7,4.5,1,,0,6.8,3.2,0,,1,0,6,0.8,9,,0,5.7,1,14,,0,4.9,0.7,14,,0,5.2,1.3,14,,0,5.3,0.8,13,,0,6.3,1.8,13,,0,4.6,0,16,0,0,8.1,1.5,8,1,0,10.2,1.8,8,1,0,11.1,2.2,8,1,0,12.2,1.4,9,1,0,12.9,2,8,1,0,14,1.4,10,1,0,13.8,2,9,1,0,12.6,1.1,12,1,0,11.3,1.4,8,1,0,9.3,0.8,12,0,0,9.6,1.3,11,,0,9.2,1.6,12,,0,9.5,1.9,11,,0,9.3,1.5,9,,0,9.2,2,9,,0,8.7,1.6,9,,0,8.6,1.6,9,,1,0,8.4,1.6,10,,0,8.1,1.2,9,,0,7.9,1.4,10,,0,7.7,0.9,8,,0,8.1,1.6,10,,0,7.7,1.2,9,,0,7.3,0.9,11,0,0,9.5,0.2,16,1,0,10.2,0.8,9,0.3,0,10.4,1.3,9,0.9,0,12,1.7,8,0.5,0,13.5,1.4,8,1,0,12.8,1.4,11,0.9,0,12.1,1.6,10,1,0,11.2,1.2,14,1,0,10.3,1.3,14,1,0,8.8,1.9,2,0,0,7.4,4.2,1,,0,6.4,1.3,15,,0,6,0.9,14,,0,5.5,1.5,13,,0,4.6,0.7,12,,0,3.9,1.2,13,,0,3.6,0.9,13,,1,0,3.4,0.5,13,,0,4.3,1.5,13,,0,3.7,1.4,1,,0,3.6,0.9,13,,0,3.7,1.7,13,,0,2.9,1.1,15,,0,3.9,1.9,15,0,0,5.8,0.5,15,0.6,0,7.4,0.5,3,0.6,0,8.3,1.1,2,1,0,8.4,1.5,7,1,0,10.3,2.1,9,1,0,9.8,1.5,8,1,0,10.3,1.9,8,1,0,9.8,0.8,9,1,0,7.9,0.3,9,1,0,5.8,1.7,14,0,0,5.6,1.9,14,,0,5.6,1.2,14,,0,5.2,1.5,14,,0,5,1.1,15,,0,6.5,3,0,,0,5.7,4.3,1,,0,5.3,3.1,0,,1,0,4.9,1.2,15,,0,5.1,1.6,15,,0,4.9,2.8,0,,0,4.6,2.5,0,,0,4.8,2.4,0,,0,4.6,2.2,0,,0,5,2.9,0,0,0,6.4,2,2,0.8,0,7.3,2.4,2,1,0,8.2,3.2,2,1,0,8.2,2.8,2,0.9,0,8.8,1.9,2,1,0,8.8,1.1,2,1,0,8.8,1.2,2,1,0,7.9,1.6,2,1,0,7.2,1.9,2,1,0,6,2.6,0,0,0,6,2.9,0,,0,6.1,3,0,,0,6,2.8,0,,0,5.9,2.8,0,,0,5.9,2.8,0,,0,5.4,3.4,0,,0,5.9,3.5,1,,1,0,5.7,3.5,1,,0,5.8,2.4,1,,0,6,2.4,1,,0,6.2,1.5,1,,0,6.1,1.7,0,,0,5.2,1,14,,0,5.4,0.3,10,0,0,7.9,0.6,3,0.8,0,8.3,1,3,1,0,9.3,0.9,3,1,0,9.8,0.9,3,1,0,10,0.8,3,1,0,9.4,1,5,1,0,11.2,1.6,8,1,0,11.4,2.4,9,1,0,10.1,0.9,9,0.3,0,7.9,0.8,9,0,0,7.9,0.6,10,,0,9.2,0.8,12,,0,10,1.1,10,,0,9.4,1.2,1,,0,9.4,0.2,16,,0,11,1.1,15,,0,8.6,0.5,13,,1,1,8,1.1,14,,0,8.2,1.3,13,,0,8.4,1.6,1,,0,8.6,3.2,1,,0.5,8.2,2.5,0,,0,8.1,5,1,,0.5,8.7,4.7,1,0,3,8.7,4.6,1,0,3,7.4,3.9,1,0,1,7.9,1,2,0,0.5,7.8,2,2,0,0.5,7.8,3,1,0,0,8.5,1.4,1,0,0,8,3.8,1,0,0,8,3.4,1,0,0,7.8,3.5,1,0.1,0,7.7,4.1,1,0,0,8,2.8,1,,0,8,2.8,1,,0,8.5,3.7,1,,0,8.7,2.6,1,,0,8.8,3.6,1,,0,8.4,3.2,1,,0,8.5,3.3,1,,1,0,8,1.8,1,,0,7.7,1.9,0,,0,7,1.4,13,,0,6.2,1.4,13,,0,6.1,1.3,14,,0,6.1,0.6,11,,0,6.8,1.4,12,0,0,8.8,1.1,12,0.9,0,9.6,1.7,8,1,0,10.4,1.6,8,1,0,10.9,1.9,8,1,0,11.4,2.2,9,1,0,11.6,2.2,8,1,0,11.4,2.1,8,1,0,11.1,1.8,9,1,0,10.1,1.6,9,1,0,9.2,1.5,11,0,0,8.5,1.3,12,,0,8.4,1.8,12,,0,8.3,2.3,13,,0,8,1.8,12,,0,8.3,2.6,13,,0,8.1,2.5,13,,0,8.3,3.2,13,,1,0,8,2.7,14,,0,7.9,2.4,13,,0,8,3.3,14,,0,7.1,2,13,,0,7.4,2.2,13,,0,7.1,1.8,13,,0,6.7,1.7,14,0,0,10,0.5,13,0.8,0,11.6,0.7,9,1,0,12,0.8,9,1,0,12.4,1.4,9,1,0,12.5,2,13,1,0,12.6,1.4,8,1,0,12.6,1.7,8,1,0,11.7,1.5,8,1,0,10.3,1.3,8,1,0,8.6,0.6,8,0.1,0,9,0.8,11,,0,9.6,1,12,,0.5,7.5,0.7,10,,1,8.4,1.1,9,,0,8,1.2,12,,0,7.4,1,10,,0,7.3,1,8,,