31,1,2,0.2,0,16,,3,0.3,0,16,,1,0.7,,,,0.5,0.5,,,,0.5,1.1,,,,0,1,0.3,6,,1.5,1.4,1.5,11,,2.5,2.1,1.8,10,0,2,3,0.8,10,0,0,3.2,2.2,12,0,0,2.9,2.5,12,0,0.5,1.6,1.5,11,0,0,1,1.5,12,0,0,0.7,1.8,12,0,0,0.5,1.4,11,0,0,0,0.8,11,0,1,-0.9,1.1,12,0,0,-0.7,0.3,11,,0.5,-0.7,0.2,16,,1,-0.9,0,16,,0,-1,0.8,3,,0,-0.9,0,16,,0,-0.4,0.4,13,,0,0.3,2.3,12,,1,0,0.1,0.9,11,,0,0.3,1.4,12,,0,-0.2,0.6,13,,0,0.3,1.6,12,,0,-0.5,2.9,13,,0,0.2,3.1,13,,0,-0.3,3.1,13,,0,-2.5,1,13,0,0.5,-2.9,1.2,14,0,0,-2.4,1.6,13,0.1,0,-2.1,1.2,12,0.1,0,-1,1.2,12,0.4,0,-0.8,1.7,14,0.5,0,-2.2,1.7,14,0,0,-2.7,0.7,13,0,0,-2.8,0.7,12,0,0,-2.5,1.1,12,0,0,-2.3,1.6,11,,0,-2.4,0.1,16,,0,-1.4,0.6,12,,0,-1.4,0.7,12,,0,-1.3,0.9,12,,0,-0.4,1.2,12,,0,-0.2,1.8,12,,1,0,0.3,1.1,12,,0,0.3,1.5,12,,0,0.1,0.8,12,,0,-0.4,0.8,11,,0,-0.8,0.6,11,,0,-0.9,0.1,16,,0,-2.3,0,16,,0,-2.7,0,16,0,0,1.3,1.1,10,0.8,0,1.7,0.6,8,0.5,0,2.9,0.7,7,1,0,3,1.2,7,0.4,0,4.2,1.3,9,0.6,0,4.4,1.2,9,0.3,0,4.1,1.1,10,0,0,3.2,1.6,12,0,0.5,2.4,0.9,11,0,1.5,2,0.6,12,,1,1.2,0.3,15,,3.5,0.4,0.8,13,,3,0.6,0,16,,0,0.4,0,16,,0,0.3,0,16,,0.5,0.2,0,16,,1,0,0.2,0,16,,0,0.6,0,16,,0,0.6,0,16,,0,0.7,0,16,,0.5,0.9,0,16,,0,1.1,,,,0,-0.1,,,,0,-0.1,,,0,0,-0.1,,,0.6,0,-0.5,,,0.8,0,-0.5,,,1,0,-0.9,2.5,12,1,0,-1.6,1.7,11,0.8,0,-1.9,1.5,12,0.2,0,-2.3,1.5,12,0,0,-2.6,0.4,12,0,0,-3,0.7,11,0,0,-3.1,0.4,12,,0,-3.3,0.7,12,,0,-3.1,2,12,,0,-3.7,1.5,12,,0,-4.2,0.5,12,,0,-4.4,0.7,12,,0,-4.2,0.7,12,,1,0,-3.9,0.9,12,,0,-3.5,1.6,12,,0,-4,0.4,12,,0,-3.6,1.2,12,,0,-4,0.9,12,,0,-3.9,1.7,12,,0,-4.5,0.8,12,,0,-3.5,1.3,12,0,0,-3.4,0.8,12,0,0,-2.3,2.6,12,0.6,0,-1.2,1.5,12,1,0,-0.7,2,12,0.9,0,-0.6,1.8,13,0.9,0,-1,1.4,12,0.9,0,-1.6,1.5,12,1,0,-2.7,0.7,10,0.2,0,-3.5,0.1,16,0,0,-5,0,16,,0,-4.3,0.1,16,,0,-4.3,0,16,,0,-4.8,0,16,,0,-5.3,0,16,,0,-5.4,0,16,,0,-6.1,0,16,,1,0,-6.1,0.3,15,,0,-6.4,0,16,,0.5,-5.8,0,16,,0,-5.8,0,16,,0.5,-5.9,0,16,,0.5,-5.7,0,16,,0,-6,0,16,,0,-6,0,16,0,0.5,-5.3,,,0,0,-4.5,,,0.1,0,-4.3,0.2,16,0,0,-0.9,1.4,12,0.3,0,-1,1.9,12,0.4,0,-0.9,2,12,0.7,0,-1.9,1.7,12,0.4,0,-2.3,1.4,12,0,0,-3.3,0.6,12,0,0,-4.1,0,16,,0,-2.9,0,16,,0,-3.4,0,16,,0,-3.4,0,16,,0,-3.4,0,16,,0,-3.5,0,16,,0,-3.7,0,16,,1,0,-4.5,0,16,,0,-4.7,0,16,,0,-6.3,0,16,,0,-7.3,0,16,,0,-8.3,0,16,,0,-9,0,16,,0,-9.4,0,16,,0,-8.4,0,16,0.2,0,-7.4,,,0.2,0,-6.1,,,0,0,-5,,,0,0,-3.6,,,0,0,-2.1,,,0.1,0,-0.6,0,16,0.2,0,0.1,0,16,0,0,0.3,0.8,14,0,0,-0.2,0.2,16,0,0,-0.4,0,16,,0,-0.2,0,16,,0,-0.5,0,16,,0,-0.4,0.2,16,,0,-0.6,0,16,,0,-0.4,0,16,,0,-0.5,0,16,,1,0,-0.5,0.1,16,,0,-0.6,0,16,,0,0,0.7,15,,1.5,0,0,16,,2,0.2,0,16,,3,0.2,0,16,,0.5,0.2,0,16,,0,0.4,0,16,0,0,0.7,,,0,0.5,0.8,0,16,0,2,2,0.6,10,0,0.5,1.5,0.5,3,0,0,2.4,0,16,0,0,3,0.5,9,0,0,3.1,0.3,10,0,0,2,0,16,0,0,1.1,0.1,16,0,0,0.7,0.1,16,,0,0.2,0.1,16,,0,0,0,16,,0,0,0.2,16,,0,0.2,0.2,16,,0,0.1,0,16,,0,0.3,0.3,9,,1,0,0.1,0.2,16,,0,0.1,0.5,5,,0.5,0.1,0.5,4,,0,-0.5,0.4,0,,0,-1.2,0.8,7,,0.5,-1.4,0,16,,0,-1.5,1.3,6,,0,-1.5,0,16,0,0,-1.1,0,16,0,0,-0.3,0.1,16,0.1,0,0.1,0.6,11,0.2,0,-0.5,1.7,12,0,0,-0.8,1.8,12,0.1,0,-0.8,2.6,12,0.2,0,-2.1,2.7,13,0.1,0,-2.7,1.1,13,0,0,-3.9,1,12,0,0,-4.5,0.2,16,,0,-5.1,0.6,12,,0,-5.2,1.3,12,,0,-5,0.2,16,,0,-5.6,1.9,12,,0,-6.1,0.8,13,,0,-6.3,1.2,12,,1,0,-6.4,0.2,16,,0,-5.6,0.4,12,,0,-6.2,1.1,12,,0,-6.2,0.6,12,,0,-7.2,0,16,,0,-6.2,0,16,,0,-6.2,0.3,14,,0,-5,1.1,13,0.1,0,-5.2,0.9,11,0.3,0.5,-4.6,0.8,13,0.1,0,-2.6,1.6,13,0.7,0,-3.3,1.4,14,0.7,0,-3.7,1.5,13,0.1,0,-4.3,1.9,13,0.1,0,-5.2,2,12,0,0,-4.3,1.7,13,0,0,-4.8,1.1,13,0,0,-5.5,0.7,12,,0.5,-5.1,1.8,12,,0,-5.2,0.5,12,,0,-5.3,1.3,12,,0,-5.7,1,12,,0,-5.3,1.2,12,,0,-5.5,0.7,13,,1,0,-5.2,0.9,11,,0,-5.7,0.1,16,,0.5,-5.1,0.3,12,,0,-4.8,0.3,11,,0,-4.5,0.2,16,,0,-5.3,0.1,16,,0,-4.5,0,16,,0,-5.3,0,16,0,0,-4,0.6,13,0.5,0,-2.8,1.4,13,0.5,0,-1.3,1.6,11,0.7,0,-1.9,2.4,12,0.4,0.5,-1.4,1.5,12,0.3,0,-2,1.6,13,0.1,0,-2.6,2.7,12,0.2,0,-3.3,1.8,12,0,0,-3.2,0.8,12,0,0,-3.3,1.8,12,,0,-3.6,0.3,13,,0,-3.7,0.8,12,,0,-3.6,0.1,16,,0,-4.2,0,16,,0,-4.2,0.1,16,,0,-3.2,0,16,,1,0,-3.6,0,16,,0,-4.6,0,16,,0.5,-4.5,0,16,,1,-4.6,,,,1.5,-4.6,,,,0.5,-4.6,,,,1,-4.5,,,,0.5,-4.3,,,0,0.5,-3.9,,,0,1.5,-3.3,,,0,1.5,-2.9,,,0,1,-2.1,,,0,0,-1.4,0.4,4,0,0,0.6,1,11,0,0,0,0.9,12,0,0,-0.8,0.6,11,0,0,-1.2,0.3,12,0,0,-1.8,0.1,16,,0,-1.9,0.5,9,,0,-2.1,0.5,11,,0,-2.4,1.7,12,,0.5,-3.4,1.4,13,,0,-3.2,0.5,12,,0,-3.8,0.9,12,,1,0,-4.3,0.7,13,,0,-5.4,0.3,13,,0,-6.7,0,16,,0,-7,0,16,,0,-6.6,0.2,16,,0,-7.7,0,16,,0,-6.5,0.6,13,0,0,-6.2,1,11,0,0,-6.2,0,16,0.3,0,-5.2,0.4,11,0.2,0,-4.6,1.5,12,0.5,0,-4.9,1.3,12,0.2,0.5,-5.2,1.9,13,0.1,0,-4,1.3,13,0.7,0,-5.3,0.8,12,0.4,0,-6,0.8,12,0,0,-6.4,0,16,0,0,-9.3,0,16,,0,-10.3,0.2,16,,0,-8.3,0,16,,0.5,-8,0,16,,2,-7.4,0,16,,0.5,-7.5,0,16,,0.5,-7.9,0,16,,1,0.5,-5.7,0,16,,0,-5.4,0,16,,0.5,-5.5,0.7,12,,0.5,-6.2,0,16,,0,-7.6,0,16,,0,-7.7,0,16,,0,-9,0,16,0,0,-7.9,0,16,0,0,-7,,,0,0,-6.7,,,0,0,-3.9,,,0,0,-3.1,1.4,12,0,0,-2.7,1.4,12,0,0,-3,1,12,0,0,-3.5,0.8,12,0,0,-4.1,1.1,12,0,0,-4.6,0.3,12,0,0,-4.9,0,16,,0,-5.8,0,16,,0,-6.7,0,16,,0,-7.6,0,16,,0,-8.2,0,16,,0,-9.8,0,16,,0,-11.2,0,16,,1,0,-9.9,0,16,,0.5,-9.5,0,16,,0.5,-8.8,0,16,,0,-9.2,0,16,,0,-8.9,0,16,,0,-8.6,0,16,,1,-8.3,0,16,0,0,-7.9,0,16,0,0,-7.3,,,0,1,-6.7,,,0,0,-5.1,,,0,0.5,-4.5,0.5,,0.2,0,-2.1,0.8,13,0.1,0,-1.2,1.2,12,0.1,0,-1,1,13,0.1,0,-1.7,1.3,12,0,0,-1.9,0.9,12,0,0,-2,0.5,12,,0,-2.1,0.4,13,,0,-2,0.7,11,,0,-2.4,1.3,12,,0,-2.7,1.6,11,,0,-2.9,0.5,12,,0,-2.7,0.5,12,,1,0,-3,0.7,12,,0,-3.2,0.5,12,,0,-2.9,0.1,16,,1,-4.1,0.3,12,,0,-6.5,0,16,,0,-7.4,0,16,,1.5,-6,0,16,0,0.5,-5.5,0,16,0,0,-3.4,,,0.2,0,-0.5,1.5,12,0.5,0.5,-1.6,1.3,12,0.2,0.5,-0.5,1.3,12,0.4,0,-1.1,1.5,12,0.1,0,-0.9,1.5,13,0.1,0,-2.2,2.1,13,0.1,0,-2.3,1.4,12,0,0,-2.4,1.3,12,0,0,-2.7,1.2,12,,0,-2.7,1.5,12,,0,-2.9,0.9,12,,0,-2.8,0.3,12,,0,-3.2,0.5,12,,0,-2.8,0.3,13,,0,-3.2,1,12,,1,0,-2.9,0.6,12,,0,-3.2,0.6,11,,0,-3.5,0,16,,0,-4.3,0,16,,0,-4.7,0,16,,0,-5,0,16,,0,-5.4,0,16,0,0,-5.6,0,16,0,0,-4.8,,,0.3,0,-3.6,0.4,2,0.9,0,-2,1.5,4,1,0,-1.9,1.4,3,0.1,0,-2.7,0.3,0,0,0.5,-2.5,0.7,4,0,0,-2.2,0.2,16,0,1,-3.1,0.3,12,0,0,-3.7,0,16,0,0,-3.9,0,16,,0,-5.7,0,16,,0,-8.5,0,16,,0,-11.5,0,16,,0,-11.6,0,16,,0,-13.6,0,16,,0,-14.2,0,16,,1,0,-15.6,0,16,,0,-16.3,0,16,,0,-16.6,0,16,,0,-15,0,16,,0,-14.2,0,16,,0,-13.3,0,16,,0,-13.9,0,16,0,0,-12.1,0,16,0,0,-9.9,0,16,0,0,-8.2,,,0,0,-6.8,,,0,0,-5.2,,,0,0,-4.4,,,0,2,-4.1,,,0,1,-3.6,,,0,0,-3.3,,,0,0,-3.3,,,0,0,-2.4,,,,0.5,-2,,,,0,-2,0.4,12,,0,-1.5,0.7,12,,0,-3.7,0.6,4,,0,-5,0,16,,0,-5.3,0.1,16,,1,0,-7.1,0,16,,0,-9.2,0,16,,0,-9.3,0,16,,0,-9.2,,,,0.5,-6.9,,,,0.5,-7.6,,,,0,-8.5,,,0,0,-7.4,,,0.5,0.5,-5.7,,,0.1,0,-4.3,,,0,0,-2.9,,,0,2,-1.5,,,0,1,-1.7,0,16,0,0,-1.3,0.4,1,0.4,2,-1.7,0.5,14,0,0,-1.5,0.1,16,0,0.5,-2.6,0,16,0,0,-1.9,1,12,,0,-2.2,1.3,12,,0,-2.6,1.2,12,,0,-3.1,1.2,12,,0,-3.8,1,13,,0,-3.7,1.4,13,,0,-5.9,0,16,,1,0,-6.9,0,16,,0,-6.4,0,16,,0,-6.8,0,16,,0,-6.9,0,16,,0,-6.8,0,16,,0,-6.5,0,16,,0,-6.4,0,16,0,0.5,-6.1,0,16,0,0,-5.4,,,0,0,-4.4,,,0,1,-3.8,,,0,0.5,-3.1,,,0,0,-2.5,0.3,0,0,0,-1.9,0,16,0,0,-1.5,0,16,0,0,-1.6,0,16,0,0,-1.8,0,16,0,0,-1.8,0,16,,0.5,-1.9,,,,0.5,-1.8,,,,0.5,-2,,,,0.5,-1.8,,,,0.5,-1.7,,,,0,-1.9,,,,1,0,-2,,,,0,-1.9,,,,0,-2.2,,,,0,-3.2,,,,0,-3.4,,,,0,-4.3,,,,0,-4.8,,,0,0,-5.1,,,0,0,-4.6,,,0,0,-3.2,,,0,0,-2.4,,,0.8,0,-1.7,1.3,4,1,0,1.5,0.9,12,1,0,1.2,2.1,12,1,0,0.5,1.6,12,0.9,0,-0.7,1.4,12,0.3,0,-1.1,1.2,12,0,0,-1.4,1.2,12,,0,-1.6,0.7,12,,0,-2.4,0.8,4,,0,-2.5,0.6,14,,0,-4.1,0.5,4,,0,-5.2,0.4,6,,0,-5,0.2,16,,1,0,-6.3,0,16,,0,-6.7,0.3,14,,0,-8.8,0,16,,0,-10.3,0,16,,0,-12.6,0,16,,0,-11.1,0,16,,0,-10.6,0,16,0,0,-9.3,0,16,0,0,-8.4,,,0,0,-5.8,,,0.7,0,-4.5,0.6,3,1,0,0.8,2.5,12,1,0,0.8,1,13,1,0,-0.7,1.8,12,0.5,0,-1.2,1.2,12,0.1,0,-2.4,0.7,12,0,0,-2.6,1.4,11,0,0,-2.8,1.4,12,,0,-2.7,1,12,,0.5,-2.5,1.3,11,,0,-2,1.9,12,,0,-2.3,1.9,12,,0,-2.8,1.3,13,,0,-2.7,0.8,13,,1,0,-3.3,0.1,16,,0,-4.3,0.1,16,,0.5,-4.3,0.6,13,,0,-4.1,0.2,16,,0,-4.5,1.2,14,,0,-4.9,0.1,16,,0,-4.9,0.5,15,0,0,-4.6,0.7,12,0,0,-3.7,0.5,13,0.7,0,-2.9,1,11,1,0,-1.8,0.6,10,0.9,0,-1.2,1,12,0.5,0,-0.2,1.4,11,0.6,0,-2,1.3,11,0.8,0,-1.9,2.4,12,0,0,-1.8,1,11,0.2,0,-2.6,0.7,8,0,0,-2.7,0.1,16,,0,-3.4,0,16,,0,-5.2,0,16,,0,-6.9,0,16,,0,-6.9,0,16,,0,-7.1,0,16,,0,-6.7,0,16,,1,0,-6.8,0,16,,0,-6.6,0,16,,0,-6.4,0,16,,0,-6.3,0.1,16,,0,-6.2,0,16,,0,-6.1,0,16,,0,-6.2,0.3,8,0,0,-6.2,0,16,0.4,0,-5.3,0.8,4,0.9,0,-3.6,0.3,4,0.5,0,-2.4,0.9,3,0,0,-0.8,0.6,3,0.2,0,-0.2,0.3,4,0.1,0,0.9,0,16,0,0,0.8,0.2,16,0,0,0.9,0.3,13,0,0,0.5,0.4,15,0,0,0.7,0.3,2,,0.5,4.4,2,9,,0,4.4,1.7,11,,0,4.4,1.5,10,,0,5.5,1.3,11,,0,6.1,1.2,12,,0,6.1,1.7,12,,1,0,5.8,1.8,11,,0,5.4,1.5,12,,0,5.1,1,12,,0,4.8,1.2,12,,0,4.5,0.6,12,,0,4.9,1,11,,0,3.7,0.4,11,0,0,2.1,0.3,13,0,0,2.1,0.3,1,0,0,3.6,0.5,2,0,0,4.4,0.2,16,0,0,6.4,0.2,16,0,0,6.6,1.1,12,0,0,6.8,0.4,10,0,0,5.8,0.7,12,0,0.5,3.1,0,16,0,0,2.6,0.9,3,0,0,2.1,0.1,16,,0,1.5,0,16,,0,0.9,0.2,16,,0,1.2,0.3,8,,1,1.7,0.4,7,,2.5,1.1,0,16,,3,1,0.1,16,,1,2.5,1.2,0,16,,3,0.5,0,16,,1.5,0.3,0,16,,1,0.3,0,16,,0.5,0.3,0,16,,0,0.4,,,,0,0.6,,,0,0,1,,,0,0.5,2.1,,,0,0,2.5,2.5,11,0,0,1.1,2.8,13,0,0.5,0.6,2.1,11,0.1,0,0.5,2.9,12,0.3,0,0.3,1.7,13,0,0,0.6,1.2,12,0.2,0,-0.5,2.3,12,0.6,0,-1.1,1.9,12,0,0,-1.2,1.7,12,,0,-1.6,1.9,12,,0.5,-2.6,0.8,13,,0,-2.8,1.4,12,,0,-3.7,1.4,11,,0,-3.9,0.7,12,,0,-4.3,1,12,,1,0,-5.1,0.7,12,,0,-5.7,0.2,16,,0,-6.1,0.2,16,,0,-5.7,0.2,16,,0,-5.8,0.3,13,,0,-6.1,0.2,16,,0,-6.4,0.2,16,0,0,-7.8,0.1,16,0,0,-5.5,0.4,3,0.8,0,-2.2,1.4,12,1,0,-1.1,2,12,1,0,-1.4,1.4,13,0.8,0,-1.2,1.4,12,0.4,0,-0.6,0.8,11,0.7,0,-1.5,1.4,11,0.2,0,-1.5,0.9,12,0.1,0,-2.4,0,16,0,0,-3.7,0,16,,0,-4.2,0,16,,0,-5.4,0,16,,0,-6.1,0,16,,0,-4.9,0,16,,0,-5.3,0,16,,0,-4.8,0,16,,1,0,-4.6,0,16,,0,-4.2,0,16,,0,-4.2,0,16,,0,-4.7,0,16,,0,-4.5,0.1,16,,0,-4.2,0.1,16,,0,-3.7,0.4,2,0,0,-2.8,0.6,15,0,0,-0.7,2,14,0,6.5,1.4,2.2,8,0,3,1.3,1.4,13,0,1.5,2.4,0.9,11,0,0,3.3,1,11,0,0,2.7,0.8,11,0,0,2.6,1.9,13,0,0,1.5,1.5,12,0,0.5,1.1,1.2,12,0,0,0.5,2.2,13,,0.5,0.1,2.3,12,,0,-0.5,2.2,12,,0,-1.3,2.2,13,,0,-2,2.1,12,,0,-2.4,2.4,12,,0,-3,2.3,12,,1,0,-3.3,1.7,12,,0,-4.2,3.2,13,,0,-4.4,1.6,12,,0,-3.8,1.4,12,,0,-3.9,1.5,13,,0,-4,0.9,13,,0,-4.4,2.1,13,0,0.5,-4.7,2.2,12,0,0,-3.4,2.2,12,0.5,0,-3.1,2,12,0.8,0,-2.4,1.5,12,0.3,0,-2,2.1,13,0.4,0,-1.6,1.9,12,0.1,0,-0.7,2.9,12,0.3,0,-1.4,1.9,12,0,0,-1,1.1,13,0,0,-1.1,1,11,0,0,-1,0.3,13,,0,-1,0.5,9,,0,-1.2,0.5,7,,0,-2,0.2,16,,0,-3.2,0.7,15,,0,-5.8,0,16,,0,-6.1,0,16,,1,0,-7.1,0,16,,0,-8.2,0,16,,0,-8.8,0,16,,0,-9.4,0,16,,0,-8.8,0,16,,0,-8.6,0,16,,0,-8.1,0,16,0,0,-7.1,0.1,16,0.5,0,-6.2,0.1,16,0.1,0,-4.6,0.2,16,0,0,-3.5,0.4,2,0.1,0,3.2,0.8,0,0.4,0,9.6,1.7,10,0.2,0,9.5,1.6,8,0,0,9.2,1.4,8,0,0.5,6.7,0.6,8,0,2.5,4.6,0.3,2,0,2,3.1,0.3,15,,2.5,3.9,0.4,12,,5.5,4.6,0.5,14,,5,3.8,0.9,13,,6,2.7,1.3,12,,4.5,1.4,0.3,11,,3,1.4,1.5,7,,1,1.5,1,1.2,12,,1,2.7,1.9,11,,0,2.4,1.5,12,,0.5,1.3,1.8,12,,1,1.3,2.3,12,,0,0.3,2.1,12,,0.5,-0.6,2.2,12,0,0,-0.7,1.8,12,0,0,-2.1,2.6,12,0.2,0.5,-3,2.4,12,0.1,2.5,-3.1,2.1,12,0,0.5,-3.6,3.4,12,0,0,-3.2,3.4,12,0.4,0,-4.1,3,12,0,0,-4,2.3,12,0,0,-3.7,1.7,12,0,0,-4.4,1.3,12,0,0,-4.2,1.7,12,,1,-3.5,2.1,13,,0.5,-2.9,1.5,12,,0.5,-3.3,2.5,13,,0,-2.3,2.9,12,,0,-2.3,2.2,13,,0.5,-2,2.7,13,,1,0,-1.6,1.7,13,,0,-1.6,2.3,12,,0,-1.9,2.2,12,,0,-1.6,2.1,12,,0,-2,1.4,12,,0,-2.3,1.1,12,,0,-2.5,0.9,12,0,0,-3.3,1.1,5,0,0,-2.6,0.9,2,0,0,-2.4,1.1,15,0,1,-0.7,1.1,11,0,0.5,0.2,1,11,0,0,0.5,1.2,11,0,0,0.7,0.6,10,0,0,0.6,0.7,9,0,0.5,0.6,1.1,11,0,0,0,0.7,11,0,0,-1.5,0.1,16,,0,-1.3,0,16,,0,-2.6,0,16,,0,-1.4,0,16,,0,-1.6,0,16,,0,-1.4,,,,0,-1.2,,,,1,0,-1.3,,,,0,-1.4,,,,0,-1.7,,,,0,-2.9,,,,0,-4.5,,,,0,-4,,,,0,-2.9,,,0,0,-1.8,,,0,0,-1.5,,,0,0.5,-0.9,,,0,1.5,0,,,0,1.5,0.7,,,0,4,0.8,,,0,4.5,1,,,0,2,1,0.5,7,0,1.5,0.7,0.5,13,0,1.5,0.7,0.1,16,0,0.5,0.8,0.5,4,,0,7,1.1,11,,0,6.4,1,12,,2,6.3,0.5,13,,0.5,5.6,0.6,11,,0.5,5.1,1,12,,0.5,5,1.1,12,,1,0,5.5,2,12,,0,4.7,1.2,13,,0,4.6,1.6,11,,0,4.2,1.3,12,,0.5,3.6,1.1,12,,0,4.1,1.6,11,,0,3.8,0.9,11,0,0,3.6,0.4,11,0,0,3.3,0.3,11,0,0,3.8,0.3,13,0,0,3.7,0.3,13,0,0,1.8,1,4,0,0,0.7,1.1,3,0,0,0,1.1,3,0,0.5,-0.6,1,3,0,1,-1,1,3,0,0.5,-1.3,2,4,0,1,-2,1.9,4,,1,-2.2,1.2,4,,0,-2.1,0.5,7,,0,-1.9,0.2,16,,0,-2,0.1,16,,0,-2.1,0,16,,0,-1.9,1.4,12,,1,0.5,-2.3,0.5,11,,0,-2.3,0.2,16,,0,-2.9,0.3,10,,0,-2.9,0.4,11,,0,-4.1,0.4,12,,0,-5.3,0,16,,0,-6.9,0,16,0,0,-4.9,0.6,9,0,0,-4.1,0,16,0.2,0,-3.1,0.8,4,0.2,0,-3.4,1.3,3,0,0,-3.8,0.6,3,0.3,0,-2.7,1.6,4,0.4,0,-2.9,2.2,6,0.7,0,-4,1.5,2,0.4,0,-4.3,1.1,3,0,0,-4.8,0.2,16,0.1,0,-5.6,0,16,,0,-6.6,0,16,,0,-5.5,0.1,16,,0,-4.9,0.2,16,,2,-5.2,0.5,13,,0,-6,0.1,16,,0,-5.9,1,11,,1,0,-7.5,0.2,16,,0,-6.9,0,16,,0.5,-6.8,0,16,,0.5,-6.3,,,,0,-6.5,,,,0,-6.8,0.3,12,,0,-7.1,0.6,13,0,0,-6.8,0.9,12,0,0,-6.3,1,12,0,0,-6.1,1.1,12,0,0,-5.9,1.7,12,0,0,-5.5,2,12,0.4,0,-6.2,1.3,13,0.2,0,-5.9,1.7,12,0,0.5,-6.3,1.4,12,0,0,-6.5,1.6,12,0,0,-7.1,1.5,12,0,0,-7.5,0.7,12,,0,-7.5,0.3,11,,0,-7,0.7,12,,0,-6.9,0.1,16,,0,-7.9,0.3,14,,0,-7.2,0,16,,0.5,-8.1,0,16,,1,0.5,-8.2,0,16,,0.5,-6.8,1.4,12,,0,-6.3,0.2,16,,0,-6.2,1.4,12,,0,-6.2,0.8,11,,1,-6.2,1.5,12,,0.5,-6,1.4,12,0,0.5,-5.6,1.2,12,0,1,-5.2,1.5,12,0,1,-5.1,1,12,0,0,-4.6,1.6,12,0,0,-4.9,1.9,12,0,0.5,-4.6,1.4,12,0,0,-4.6,1.9,12,0,0,-4.6,2.1,12,0,0,-4.4,1.9,12,0.2,0,-4.9,1.2,12,0,0.5,-5.1,1.4,12,,0,-5.1,1.2,12,,0,-5.5,1.4,12,,0,-5.4,1.5,11,,0,-5.4,1,12,,0,-5.5,0.3,13,,0,-8.5,0,16,,1,0,-7.3,0.2,16,,0,-5.9,0.4,13,,0,-9.4,0.2,16,,0,-9.7,0,16,,0,-10.3,0,16,,0,-10.7,0,16,,0,-10.3,0,16,0,0,-9.1,0,16,0,0,-8.6,,,0.4,0,-4.9,,,1,0,-3.2,,,0.4,0,-2.2,2,12,0.7,0,-2,2.2,12,1,0,-2.5,1.5,12,1,0,-2.8,1.8,12,1,0,-4.4,1,11,0.8,0,-5.7,0.9,12,0,0,-6.7,0.