0,-1.3,0,16,,0,-1.3,0,16,,0,-1.4,0,16,,0,-1.5,0,16,,0,-1.3,0,16,,0,-1.3,0,16,0,0,-0.7,0,16,0,0,1.3,1.1,5,0.8,0,3.2,1.1,4,1,0,6.4,0.4,1,1,0,9.2,1,15,1,0,10.7,0.8,13,1,0,10.8,1,13,1,0,10.6,1.2,12,1,0,8.5,0.2,16,0,0,7.4,0.1,16,0,0,6.2,0.1,16,,0,5.4,0.1,16,,0,5.1,0.5,9,,0,5.3,0.5,14,,3.5,5.5,1.4,4,,3,5.8,1,11,,1.5,5.8,0.3,13,,1,0,5.9,0.3,11,,0,6,0.4,8,,0,5.1,0,16,,0,4.8,0.5,4,,0,4.5,0.4,4,,0,4.3,0.5,5,,0,3.7,0.7,4,0,0,3.7,0.9,5,0,0,3.6,1.1,4,0,0,4.6,0,16,0,0,6.7,0.3,1,0.3,0,7.7,1.1,2,0.8,0,8.6,2,4,0.2,0,8.8,1.8,3,0,0,8.1,1,3,0,0,7,1.9,3,0,0,5.5,0.9,3,0,0,4.3,1.1,3,,0,4.4,1.2,3,,0,3.2,0.9,3,,0,0.5,0.9,10,,0,-0.4,0.9,9,,0,-0.9,0.4,9,,0,-1,0.3,10,,1,0,-1,0.2,16,,0,-1.3,0.3,10,,0,-1.4,0.1,16,,0,-1,0.9,9,,0,-0.8,0.8,9,,0,-0.5,0.6,11,,0,0.2,0.5,10,0,0,2,0.2,16,0.3,0,5.3,0.2,16,0.7,0,8,1.9,4,0.4,0,9,3.2,4,0.3,0,9.3,2.8,4,0.1,0,9.5,2.9,4,0,0,9,2.8,4,0,0,8.6,1.9,4,0,0,8.2,1.6,4,0,0,7.7,2,4,0,0,7.7,3.1,4,,0,7,1.4,4,,0,6.5,1.3,4,,0,5.3,0,16,,0,5.1,0.5,9,,0,5.2,0.5,11,,0,5.2,0.1,16,,1,0,5,0.4,10,,0,5,0.3,10,,0,4.7,0,16,,0,4.6,0,16,,0,4.6,0.3,7,,0,3.9,0.1,16,,0,4.1,0.2,16,0,0,5.8,0.1,16,0.4,0,7.8,0.3,2,1,0,10,0.4,9,1,0,12.3,0.8,5,1,0,13.5,1.5,3,1,0,14.2,0.3,0,1,0,14.4,0.5,12,1,0,13.1,1.3,12,0.9,0,11.7,1.4,12,0,0,10,0.3,2,0,0,8.4,0.3,11,,0,6.6,0.1,16,,0,6.8,0.2,16,,0,6.6,0.1,16,,0,6.6,0.1,16,,0,6.4,0.1,16,,0,6.3,0,16,,1,0,6.2,0,16,,0,6.4,0.1,16,,0,6,0.6,8,,0,5.9,0.3,0,,0,4.5,0.1,16,,0,4,0.8,9,,0,3.2,0,16,0,0,4.2,0.6,6,0,0,6.8,0.3,3,0.2,0,8.9,0.2,16,0.5,0,10.9,1,4,0.8,0,12.2,0.6,15,0.2,0,12.9,0.7,2,0,0,13.1,0.5,0,0.2,0,12.6,0.2,16,0.3,0,10.5,0.3,12,0,0,8.8,0.3,12,0,0,8.6,0,16,,0,7.5,0.1,16,,0,7.1,0.1,16,,0,7.3,0.3,14,,0,7.4,0.6,7,,0,7.5,0,16,,0,7.5,0.5,5,,1,0,7.1,0.1,16,,0,7.3,0.2,16,,1,7.3,0,16,,1.5,7.2,0.3,7,,0.5,7.4,0,16,,1,7.4,0,16,,0.5,7.5,0,16,0,2,7.7,0.2,16,0,2,8.1,0.4,4,0,1.5,8.6,2,6,0,1,8.8,0.8,10,0,0,9.8,0.5,11,0,0,11.5,0.8,8,0,0,11.6,0.5,10,0,0,11,0.3,6,0,0,10.8,0,16,0,0,10.5,0,16,0,0,11.3,1.2,3,,0,10.6,2.5,3,,0,10.3,2.1,3,,0,10,0.9,3,,0,9.4,0.8,3,,0,7.4,0.3,10,,0,7.4,0.1,16,,1,0,7.7,0.3,8,,0,7.8,0.8,11,,0,7.4,0.6,10,,0,7.1,0.1,16,,0,6.9,0.5,8,,0,6.9,0.1,16,,0,6.4,0.3,9,0,0,7.3,0.4,9,0,0,8.6,0.1,16,0,0,10.6,0.4,4,0.2,0,12.1,1,3,1,0,13.6,1.4,6,1,0,13.8,1.1,6,1,0,13.7,0.9,6,0.4,0,13,0.5,8,0,0,11.6,0.2,16,0,0,11.4,1.1,3,0,0,10.7,0.6,2,,0,9,0.4,8,,0,8.4,0.2,16,,0,8.4,0.2,16,,0,8.3,0.3,10,,0,8.2,0.4,11,,0,8.1,0.4,10,,1,0,8.1,0.3,14,,0,8.1,0,16,,0,8.1,0.3,11,,0,8.3,0.3,11,,0,8.1,0.2,16,,0,8.3,0.2,16,,0,8.3,0.4,9,0,0,9.1,0.6,10,0,0,10.1,0.5,10,0,0,11.3,0.3,13,0,0.5,11.4,0.7,12,0,0,11.5,0.5,13,0,4,11.5,0.7,14,0,3.5,11.5,0,16,0,2.5,11.7,1.5,3,0,2,12.1,2.8,12,0,2,10.4,1.6,11,0,0,10.1,0.9,11,,0.5,9.8,0.9,11,,1,9.4,2.9,12,,0.5,8.1,1.3,11,,0,7.6,1.4,11,,0,6.8,1.5,11,,1,5.5,1.3,11,,1,2,4.5,1,11,,3,3.3,1.4,12,,2.5,2.2,0.8,12,,2.5,1.1,1.5,12,,1.5,0.9,2.4,12,,0,1.3,1.4,12,,0.5,0.9,0.8,12,0,0.5,0.2,0.8,11,0,1,0.5,1.7,11,0,0,0.5,1.3,12,0,0.5,1,0.4,10,0,0.5,1,1.4,11,0,0.5,0.9,2.8,12,0.1,0.5,0.6,1,11,0,0.5,0.2,2.4,12,0,1.5,0,1.7,12,0,1,0.2,1.8,12,0,1,-0.2,1.9,13,,0.5,-0.1,1.5,11,,1,0.2,1,12,,1,-0.4,2.3,11,,0.5,-0.5,1.5,12,,0.5,-0.5,1.5,11,,1,-0.8,0.7,7,,1,0,-0.7,0.8,8,,0,-0.8,0.6,8,,0,-0.9,0.3,8,,0.5,-0.7,0.4,9,,0.5,-0.7,0.1,16,,1,-0.6,0,16,,0.5,-0.7,0,16,0,0,-0.6,0,16,0,0.5,-0.2,,,0,0.5,0.2,,,0,0,1.1,,,0,0,1.4,0.5,11,0,0,2,0.4,10,0.1,0,1.6,0.7,9,0,0,1.2,0.5,14,0,0.5,1,0.4,14,0,2,0.6,0.4,12,0,2,1,0.3,9,,1,1.4,0.4,12,,0.5,1,0.2,16,,0,1.2,0.5,11,,0,0.6,0,16,,0,0.6,0.2,16,,0,0.6,0.2,16,,1,0,0.5,0.3,2,,0.5,0.5,0.6,6,,0.5,0.5,0,16,,1,0.3,0,16,,1.5,0.3,0,16,,1,0.3,0,16,,0.5,0.4,0,16,0,0.5,0.4,0,16,0,0,0.5,,,0,0.5,0.6,,,0,0,1.1,0.2,16,0,0,1.4,0,16,0,0,1.4,0.2,16,0,0,1.8,0.2,16,0,0,1.6,0.4,7,0,0,1.2,0.4,1,0,0,0.6,0.4,0,0,0,0.4,0.2,16,,0,0.3,0,16,,0,-0.1,0,16,,0,-0.1,0.2,16,,0,0,0.2,16,,1,0.3,0,16,,0,0.3,0,16,,1,1,0.2,0,16,,1.5,0.3,0,16,,0,0.3,0,16,,2,0.3,0,16,,0,-0.2,0,16,,0,-0.6,0,16,,0,-1.8,0,16,0,0,-1.7,0,16,0,0,-0.6,,,0,0,-0.4,,,0.1,0,0.1,,,0.2,0.5,0.3,1.1,13,0,0,0.5,0.6,10,0,0,-0.1,0.8,11,0,0,-0.4,0.6,12,0,0,-0.6,0.4,10,0,0,-0.8,0.1,16,0,0.5,-1.3,0.9,11,,0,-1.6,1.4,11,,0,-1.5,0.8,13,,0,-2.2,0.8,12,,0.5,-2.2,1.6,12,,0,-2,0.7,11,,0.5,-2.7,1.6,13,,1,0,-2.4,1,12,,0,-2.5,0.5,9,,0,-2.5,0.8,12,,0,-2.6,0.6,13,,0.5,-3.3,0.1,16,,2.5,-3.2,0.1,16,,0.5,-3,0,16,0,1.5,-2.8,0,16,0,0.5,-2.1,1.3,11,0,1,-2.2,0.5,12,0,0.5,-1.1,1.2,11,0,0.5,-1.2,1.3,12,0,0.5,-1.2,2.1,12,0,0.5,-2.1,1.3,11,0,1,-2.1,1.1,12,0,1.5,-1.9,1.1,12,0,0,-2.5,0.6,12,0,1.5,-2.7,1.4,12,,0.5,-2.7,0.7,11,,0.5,-2.7,1.2,12,,0,-3.3,1.2,12,,1,-3.3,0.9,12,,0.5,-3.5,1.6,12,,0,-3.5,0.3,11,,1,1,-3.4,0,16,,0.5,-4,0,16,,1,-3.3,0.1,16,,1,-3,0,16,,0,-4.4,0,16,,0,-5.3,0,16,,0,-5.6,0,16,0,0,-5.6,0,16,0,0,-4.3,,,0,0,-2.3,,,0.3,0,-1.4,,,1,0,-0.3,0.6,4,1,0,-0.7,0.4,3,0.4,0,-0.4,0.1,16,0.1,0,0,0,16,0.4,0,-0.3,0.6,15,0,0,-1,0.4,2,0,0,-1.1,0.5,7,,0,-1.2,0,16,,0.5,-1.5,0.7,4,,0,-1.8,0,16,,0,-1.7,0,16,,0.5,-1.7,0,16,,0,-2,0,16,,1,0.5,-2.6,0,16,,0.5,-2,0,16,,0.5,-1.9,0,16,,0,-2.1,0,16,,1.5,-1.9,0,16,,0.5,-1.8,0,16,,0.5,-1.7,0,16,0,0.5,-1.5,0,16,0,0,-1.2,,,0,0,-0.3,,,0,0,0,,,0,0,0.5,,,0,0,0.6,,,0,0,1.2,0.8,15,0,0,0.9,0.4,0,0,0,0.2,0.5,0,0,0,-1.5,0.3,10,0,0,-2.8,0,16,,0,-2.4,0,16,,0,-2,0,16,,0,-1.5,0,16,,0,-1.4,0.8,6,,0,-1.6,0.1,16,,0,-1.9,0,16,,1,0,-1.5,0.6,8,,0,-1.4,0.4,7,,0,-1.5,0,16,,0,-2,0,16,,0,-2.2,0,16,,0,-1.9,0.7,5,,0,-1.9,0,16,0,0,-2,0.1,16,0,0,-1,0.5,7,0,0,-0.4,0.4,3,0,0,-0.1,0.4,5,0.3,0,0.4,0.2,16,0.3,0,0.5,0.4,10,0,1,0.4,0.2,16,0,2,0.4,0,16,0,0,0.6,0.8,12,0,0,0.5,0.3,15,0,0.5,0.2,0,16,,0,-0.2,,,,0,-0.2,,,,0,-0.4,,,,0,-0.4,,,,0,-0.5,,,,0,-0.3,,,,1,0,-0.2,,,,0,0.1,,,,0,0.2,,,,0,-1,,,,0,-1.3,,,,0,0.2,,,,0,-1.4,,,0,0,-0.6,,,0,0,-0.9,,,0,0,0.6,,,0.3,0,1.7,0.4,12,0.1,0,2.3,0.8,11,0,0,2.8,0.8,8,0.2,0,2.2,0.5,8,0,0,1.7,0.8,8,0,0,0.9,0.3,8,0,0,-0.1,0,16,0,0,-0.4,0,16,,0,-1.1,0,16,,0,-3.2,0,16,,0,-3.1,0,16,,0,-3.3,0,16,,0,-3.8,0,16,,0,-3.6,0,16,,1,0,-3,0.4,9,,0,-2.2,0.8,12,,0,-1.7,1,6,,0,-1.7,0.3,8,,0,-1.1,0.2,16,,0.5,-0.9,0,16,,0.5,-0.2,0,16,0,2.5,-0.1,0,16,0,3,0.3,0,16,0,5,0.4,0.9,14,0,4.5,1.1,0.2,16,0,3.5,3.2,0.6,12,0,2,3.9,0.7,14,0,2.5,3.9,0.8,9,0,1,3.7,0.2,16,0,0.5,3.7,0.7,11,0,0.5,3.6,1.5,12,0,0,2.7,0.3,10,,0,2.9,1.5,12,,0,2.3,0.8,11,,0,3.1,1.5,11,,0,2,2,13,,0,2.2,1.3,13,,0,2.9,1.7,12,,1,0,2.5,2.1,12,,0,2,1.5,12,,0,0.7,1,11,,0,0.9,1.6,12,,0,0.4,0.2,16,,0,-0.2,0.3,7,,0,-0.4,0.6,11,0,0,-0.2,1,12,0,0,-0.4,1.5,12,0,0,0.4,1.3,11,0.4,0.5,0,1.4,11,0,0.5,1,0.2,16,0.1,0.5,0.4,0.9,12,0,0,0.3,0.5,11,0,1,0.3,0.7,12,0,0.5,-0.6,0.8,11,0,0,-0.6,0.3,11,0,0,-2.1,0.1,16,,0,-1.6,0.2,16,,0,-1.5,0.5,6,,0,-2.1,0,16,,0,-1.9,0.5,15,,0,-2.3,0,16,,0,-2.1,0.1,16,,1,0.5,-2.1,0,16,,0.5,-2.2,0,16,,1,-1.9,0,16,,0.5,-2,0,16,,0,-2.1,0,16,,0,-1.9,0,16,,0.5,-2,0,16,0,0,-1.9,0,16,0,0,-2,0,16,0,0,-1.7,,,0,0.5,-1.4,,,0,0,-1,,,0,0,-1.3,,,0,0,-1.2,,,0,0,-1.6,,,0,0.5,-2.2,0.7,11,0,0,-2.6,0.8,12,0,0,-3,0.5,10,,0,-2.9,1.2,12,,0,-3.2,0.2,16,,0.5,-3.3,0.7,12,,0.5,-3.2,0.8,12,,1,-3.6,0.7,12,,0.5,-3.5,1,12,,1,0,-3.6,1.2,12,,1,-3.7,1.1,12,,0.5,-4,1.4,12,,0.5,-4.1,1.2,11,,0,-4.5,0.7,12,,0,-4.4,0.5,11,,0,-6.3,0,16,0,0.5,-5.1,1,12,0,1.5,-3.9,1,12,0,1,-4.1,2.3,12,0.1,0.5,-3.3,1.5,11,0,1,-3.9,1.4,12,0.1,1,-4,1.7,12,0,1,-4.3,1.8,12,0,1,-4,0.6,13,0,1.5,-3.9,0.7,12,0,0.5,-3.9,0.2,16,0,0.5,-4,0.8,12,,0.5,-3.9,0.5,11,,0.5,-3.8,0.6,12,,1.5,-4,0.7,12,,0.5,-3.6,1.1,11,,0.5,-3.9,1.7,13,,0,-3.9,1.4,12,,1,0.5,-4.2,1.4,13,,0.5,-4,1.6,12,,0.5,-5,2,12,,0,-5.3,2.3,12,,0.5,-5,0.8,11,,0,-5.1,1.4,11,,0.5,-5.2,0.3,11,0,0,-5.5,0.3,13,0.6,0,-5.4,0,16,1,0,-4.9,0.2,16,1,0,-3.5,0.2,16,0.3,1.5,-2.9,1,6,0,0,-2.2,0.7,2,0,,,,,,,,,,,,-2,0.8,15,0,0,-3.6,0,16,0,0,-5.9,0.1,16,,0,-6.8,0,16,,0,-4.9,0,16,,0,-4.5,0,16,,0,-4.3,,,,0,-4.4,,,,0,-4.5,,,,1,0,-4.7,,,,0,-4.7,,,,0,-5,,,,0,-5,,,,0,-5,,,,0,-5.8,,,,0,-5.6,,,0,0,-5.2,,,0,0,-4,,,0,0,-2.3,0.2,16,0,0,-1,0.4,9,0,0,-0.4,0.4,12,0,0,0.6,0.4,7,0,0,0,0.3,12,0,0,0.5,0.3,13,0,0,0.5,0.3,13,0,0,0.5,0.4,13,0,1,0.8,0,16,,1.5,1.3,0.6,14,,1.5,0.9,0.5,7,,2,0.9,0.4,13,,2,1.6,1.2,11,,0.5,1.7,0.5,9,,0,2.2,1,12,,1,0,2.3,2.1,12,,0,2.4,2.7,12,,0.5,1.5,2.5,12,,0,0.5,2.4,13,,1,-0.2,1.9,11,,0,-1.3,2.8,12,,0,-0.6,2.8,12,0,0,-1.5,2.2,12,0,0.5,-1.8,2.7,12,0,0,-2,3.1,12,0.1,0,-1.6,3,11,0.3,0.5,-3.1,2.2,12,0,0.5,-2.8,2,13,0,0,-2.7,2,13,0,0,-3.7,2.8,12,0.2,0.5,-3.8,2.4,11,0,0.5,-4.2,2.3,12,0,1,-4.2,2.8,12,,0.5,-4.2,2.2,12,,0.5,-4.1,3.9,12,,1,-4.1,1.8,12,,1,-4.4,1.5,12,,1.5,-4.3,2.8,12,,1,-4.1,2.4,12,,1,1,-3.7,1.5,12,,1,-3.4,1.2,11,,1,-2.9,0.7,11,,0.5,-1.7,1.4,10,,3,-1.7,0.5,2,,0.5,-1.9,0.3,1,,0.5,-1.8,0.4,1,0,1,-1.3,0.4,4,0,2,0.4,0.6,11,0,1,0.5,0.2,16,0,0.5,0.7,0.7,4,0,1,1.2,1.6,13,0,0.5,1.2,0.9,11,0,1.5,0.7,0.9,12,0,0.5,1.2,0.6,12,0,1,0.7,0.3,13,0,2.5,0.4,0,16,0,0.5,0.6,0,16,,1.5,0.3,0,16,,0.5,0.5,0,16,,1,0.4,0,16,,0,0.5,0,16,,0.5,0.3,0,16,,0.5,0.3,0,16,,1,0,0.3,0,16,,0.5,-0.5,0,16,,0,-0.6,0,16,,0,-0.7,0,16,,0,-0.7,0,16,,0,-0.9,0,16,,0,-0.7,0,16,0,0,-0.4,0,16,0,0,-0.2,,,0,0,0.5,,,0,0,1.4,,,0,0,1.5,1,11,0.1,0,1.7,0.9,10,0,0,1.6,0.8,11,0,0.5,1.4,0.7,13,0,0,1.2,1.1,10,0,0,1.4,0.5,10,0,0,1.5,0.3,11,,0,1.4,0.3,12,,0,-0.1,0,16,,0,-1.5,0.2,16,,0,-1.4,0,16,,0,-1,0,16,,0,-0.9,0.5,9,,1,0,-0.9,0,16,,0,-1.2,0,16,,0,-1.5,0,16,,0,-1.4,0,16,,0,-1.8,0,16,,0,-1.9,0.4,6,,0,-2.5,0,16,0,0,-2.1,0.6,7,0,0,-1.5,0.1,16,0,0,0.8,0.6,6,0.4,0,1.1,0.9,6,0,0,1.4,0.4,4,0.5,0,2.4,0.5,4,0,0,2.1,0.2,16,0,0,1.6,0.1,16,0,0,1.2,0.5,7,0,0,1.3,0.4,13,0,0,1.1,0.5,13,,1.5,0.8,0.4,8,,0.5,0.8,0,16,,0,0.7,0.4,8,,1,0.7,0,16,,1.5,0.7,0.3,13,,1.5,3.6,1,11,,1,0.5,3.5,2.9,12,,0,3,3.2,12,,0,2.6,2.7,12,,0,1.9,2.1,12,,0,1,2.2,12,,0,0.4,1.8,12,,0,0.2,1.8,11,0,0,-0.1,1.5,12,0,0,-1.5,2.2,13,0,0.5,-2,2.3,12,0,0,-1.1,1.6,11,0,0.5,-1.8,2.5,12,0,0,-0.3,1.6,13,0,0,-0.6,1.4,12,0,0,-0.8,1.1,13,0,0,-2.2,2,12,0,0,-2.5,0.8,13,0,0,-2.7,0.5,11,,0.5,-2.6,0.7,11,,1,-3.1,1,12,,1.5,-3.2,0.7,12,,1.5,-3,1.4,11,,1,-3.1,1.2,11,,1,-3.2,0.1,16,,1,1.5,-3.3,1.3,11,,1,-3.3,0.4,11,,0.5,-3.2,0,16,,0.5,-3,1.3,12,,0,-3.4,1.2,12,,0.5,-3.5,0.6,11,,0.5,-3.8,1.9,11,0,0.5,-3.6,0.9,12,0,0,-3,1.4,11,0,0,-3,2,12,0,0,-2.5,1.8,11,0,0,-1.8,1.5,12,0,0.5,-2,1.5,12,0,0,-2.6,1.5,11,0,0,-2.4,1.7,13,0,0.5,-3.1,0.9,12,0,1,-3.3,1.9,11,0,0.5,-3,1.3,11,,0,-2.1,1.8,11,,0,-1.8,1.9,13,,0.5,-1.7,2.7,12,,0.5,-3.1,3.4,13,,0,-4.3,2.4,13,,0.5,-4.9,1.8,13,,1,0.5,-4.9,1.4,12,,0,-4.6,0.7,10,,0,-4.4,0.2,16,,0.5,-3.8,1.7,12,,0,-3.6,0.6,12,,0.5,-3.5,0,16,,0.5,-3.1,2.2,12,0,0.5,-2.7,0.7,12,0,1,-2.5,0.6,10,0,0,-1.9,1.4,11,0,0.5,-1.7,1.8,11,0,0,-1.7,2.5,12,0,0,-1.2,2.3,11,0,0.5,-1.2,1.2,12,0,0,-1.1,1.8,10,0,0,-0.5,1.7,11,0,0,-0.7,0.9,12,0,0,-0.9,1.2,11,,0,-0.5,1,12,,0,-0.5,0.2,16,,0,-0.2,0.6,12,,0,0,0.8,12,,0,0.7,0.8,12,,0,0.5,0.3,14,,1,0,0,0.1,16,,0,-3,0,16,,0,-3,0,16,,0,-2.8,0,16,,0.5,-2.5,0,16,,1.5,-2.2,0,16,,0,-2.2,0,16,0,0,-2.3,,,0,0,-1.7,,,0,1.5,-1.4,,,0,1.5,-0.5,,,0,0.5,0.1,,,0,0.5,0.7,,,0,0.5,1.8,0.6,7,0,0,1.3,0.3,12,0,0,0.8,0.4,11,0,0,0.7,0.2,16,0,0,0.5,0.3,14,,0,0.6,1.7,14,,0,0.8,0.7,14,,0,0.5,0.3,2,,0,0.1,0.1,16,,0,0,0.7,15,,0,0,0,16,,1,0,0.2,0,16,,0,0.1,0,16,,0.5,-0.2,0,16,,0,-1.7,0,16,,0,-1.1,,,,0,-1.4,,,,0,-2.1,,,0,0,-2,,,0,0,-1.4,,,0,0,-0.7,,,0.6,0,-0.4,0.9,12,0.2,0,-0.3,1.3,12,0.4,0,0.1,1.7,13,0.9,0,-1.4,1.5,12,0.5,0,-0.6,1.4,13,0.3,0,-2.8,0.1,16,0,0,-2.3,0.9,12,0,0.5,-2.9,0.6,12,,0,-3,0.7,11,,0.5,-2.9,0.9,11,,0,-3.1,0.6,12,,0.5,-3.2,1,12,,0.5,-3.1,1.2,11,,0.5,-3.2,0.5,12,,1,0,-3.2,0.8,11,,0,-4.2,0.1,16,,0.5,-3.6,1.7,12,,0.5,-3.3,1.4,11,,0.5,-3.7,0.2,16,,0,-3.5,1.8,11,,0,-4.2,0.5,10,0,0,-3.5,0.4,13,0,0,-3,0.5,12,0.1,0,-2.9,1.1,12,0,0,-1.9,1.2,11,0.4,0,-2.2,1.2,12,0.3,0,-1.9,1.4,12,0.4,0,-2.8,1.3,12,0,1.5,-3.1,0.7,12,0,1.5,-3.5,1,11,0,0.5,-3.5,1.3,12,0,0,-3.7,0.3,13,,0,-4.2,0,16,,0.5,-4.5,0.6,13,,0,-4.4,0,16,,0,-5.1,0.1,16,,0,-6,0.2,16,,0,-7.5,0,16,,1,0,-9.7,0,16,,0,-11.7,0.3,4,,0,-10.4,0,16,,0,-12.9,0,16,,0,-10.4,0,16,,0,-11.6,0,16,,0,-11.3,0,16,0,0,-9.9,0,16,0,0,-8.6,0,16,0,0,-7.3,0,16,0,0,-5.8,0,16,0,0,-4.2,0.3,5,0,0,-2.9,0.4,4,0.2,0,0,0.7,12,0.4,0,0.2,0.9,12,0.2,0,-0.4,1.5,10,0,0,-0.2,0.8,12,0,0,-0.2,0.7,11,,0,-2.3,0.2,16,,0,-3.6,0.2,16,,0,-4.4,0.6,3,,0,-4.6,0,16,,0,-6,0,16,,0,-6.1,0,16,,1,0,-8.2,0,16,,0,-5.7,0,16,,0,-5.5,0,16,,0,-5.8,0.1,16,,0,-5,0,16,,0,-4.1,0,16,,0,-3.4,0,16,,0,-2.7,0.1,16,0,0,-1.7,0.1,16,0.1,0,-0.4,0.1,16,0.3,0,0.9,0.4,4,0.9,0,2.7,0.7,4,1,0,3.5,0.6,4,0.7,0,3.1,1.1,14,0.3,0,2.5,0.2,16,0.3,0,0.5,0,16,0.1,0,-1.4,0,16,0,0,-2.8,0,16,,0,-2.2,0,16,,0,-1.9,0,16,,0,-1.8,0,16,,0,-3,0,16,,0,-2.8,0.1,16,,0,-2.4,0,16,,1,0,-2.1,0.1,16,,0,-2.1,0,16,,0,-1.8,0,16,,0,-1.6,0,16,,0,-1.3,0,16,,0.5,-0.9,0.3,8,,0,-0.7,0,16,,0,-0.5,0.4,4,0,0,-0.3,0,16,0,0,0.2,0,16,0,0,0.4,0.3,5,0,0,1,0.2,16,0,0,1.8,0,16,0,0,1.8,0.7,3,0.1,0,2,0.1,16,0,0,1,0.3,11,0,0,1.2,0.8,10,0,0,0.7,0.4,10,,0,0.3,0.2,16,,0,-0.4,0.6,14,,0,-0.4,0.9,14,,0,-0.4,0.5,12,,0,-0.7,0.1,16,,0,-0.7,0.2,16,,1,0,-0.5,0.2,16,,0,-0.4,0.1,16,,0,-0.5,0,16,,0,-0.5,0,16,,0,-0.8,0,16,,0,-0.8,0,16,,0,-1.3,0,16,,0,-1.3,0,16,0,0,-1.1,0.6,5,0,0,-0.6,0.2,16,0,0.5,0.3,0.2,16,0,0,1.5,0.5,14,0,0,1.3,0.4,10,0,0.5,1.3,1.1,10,0,0,1.6,0.6,12,0.2,0,1.4,0.7,11,0,0.5,1.1,0.5,11,0,0,1.1,0.4,11,,0,1.5,0.4,14,,1,0.5,0,16,,0,0.1,0,16,,0.5,0.6,0,16,,0,-1.2,0,16,,0,-0.4,,,,1,0,-0.3,,,,0,-0.2,,,,0.5,0.4,,,,0.5,0.4,0.5,12,,0.5,0.3,1,11,,0.5,0.9,1.4,11,,0,0,0,16,,0,1.2,0.8,12,0,0,1.7,1,11,0,0,2,0.9,11,0,0,2.1,0.9,11,0,0,1.7,1.1,9,0.1,0,1.8,1.3,11,0.1,0,0.8,1.3,11,0,0.5,1,1.1,11,0,0,0.6,0.6,11,0,0,0.5,0,16,0,0,-0.3,0,16,,0,-0.4,0,16,,0.5,-1.1,,,,0,-1.4,,,,0,-1.4,,,,0,-1.9,,,,0,-2.1,,,,